Start date,End date,Start station number,Start station,End station number,End station,Bike number,Member type
11/15/2017 8:14,11/15/2017 8:23,31628,1st & K St SE,31244,4th & E St SW,W20529,Member
11/15/2017 10:16,11/15/2017 10:33,31244,4th & E St SW,31266,11th & M St NW,W20529,Member
11/15/2017 10:33,11/15/2017 10:54,31266,11th & M St NW,31268,12th & U St NW,W20529,Member
11/15/2017 11:02,11/15/2017 11:14,31268,12th & U St NW,31231,14th & D St NW / Ronald Reagan Building,W20529,Member
11/16/2017 9:27,11/16/2017 9:38,31123,14th & Girard St NW,31200,Massachusetts Ave & Dupont Circle NW,W20529,Member
11/16/2017 9:57,11/16/2017 10:18,31200,Massachusetts Ave & Dupont Circle NW,31236,37th & O St NW / Georgetown University,W20529,Casual
11/16/2017 17:25,11/16/2017 17:44,31236,37th & O St NW / Georgetown University,31112,Harvard St & Adams Mill Rd NW,W20529,Member
11/17/2017 13:45,11/17/2017 16:36,31112,Harvard St & Adams Mill Rd NW,31296,Columbia & Ontario Rd NW,W20529,Casual
11/17/2017 19:12,11/17/2017 19:31,31296,Columbia & Ontario Rd NW,31627,3rd & M St NE,W20529,Casual
11/18/2017 10:49,11/18/2017 10:55,31627,3rd & M St NE,31505,Eckington Pl & Q St NE,W20529,Member
11/18/2017 11:32,11/18/2017 11:44,31505,Eckington Pl & Q St NE,31228,8th & H St NW,W20529,Member
11/18/2017 18:09,11/18/2017 18:14,31228,8th & H St NW,31251,12th & L St NW,W20529,Member
11/18/2017 18:53,11/18/2017 19:01,31251,12th & L St NW,31232,7th & F St NW / National Portrait Gallery,W20529,Member
11/19/2017 14:15,11/19/2017 14:31,31232,7th & F St NW / National Portrait Gallery,31200,Massachusetts Ave & Dupont Circle NW,W20529,Member
11/20/2017 21:19,11/20/2017 21:41,31200,Massachusetts Ave & Dupont Circle NW,31259,20th St & Virginia Ave NW,W20529,Member
11/20/2017 22:39,11/20/2017 23:23,31259,20th St & Virginia Ave NW,31259,20th St & Virginia Ave NW,W20529,Casual
11/21/2017 17:44,11/21/2017 17:51,31259,20th St & Virginia Ave NW,31250,20th & L St NW,W20529,Member
11/21/2017 18:20,11/21/2017 18:34,31250,20th & L St NW,31602,Park Rd & Holmead Pl NW,W20529,Member
11/21/2017 18:47,11/21/2017 18:51,31602,Park Rd & Holmead Pl NW,31401,14th St & Spring Rd NW,W20529,Member
11/21/2017 19:07,11/21/2017 19:14,31401,14th St & Spring Rd NW,31402,14th St Heights / 14th & Crittenden St NW,W20529,Member
11/21/2017 20:04,11/21/2017 20:08,31402,14th St Heights / 14th & Crittenden St NW,31401,14th St & Spring Rd NW,W20529,Member
11/21/2017 21:55,11/21/2017 22:08,31401,14th St & Spring Rd NW,31307,3000 Connecticut Ave NW / National Zoo,W20529,Member
11/23/2017 23:47,11/23/2017 23:57,31307,3000 Connecticut Ave NW / National Zoo,31200,Massachusetts Ave & Dupont Circle NW,W20529,Casual
11/24/2017 6:41,11/24/2017 6:53,31200,Massachusetts Ave & Dupont Circle NW,31229,New Hampshire Ave & T St NW,W20529,Member
11/24/2017 6:58,11/24/2017 7:33,31229,New Hampshire Ave & T St NW,31226,34th St & Wisconsin Ave NW,W20529,Member
11/26/2017 12:25,11/26/2017 12:41,31226,34th St & Wisconsin Ave NW,31225,C & O Canal & Wisconsin Ave NW,W20529,Casual
11/27/2017 5:29,11/27/2017 5:54,31225,C & O Canal & Wisconsin Ave NW,31602,Park Rd & Holmead Pl NW,W20529,Member
11/27/2017 6:06,11/27/2017 6:11,31602,Park Rd & Holmead Pl NW,31119,14th & Belmont St NW,W20529,Member
11/27/2017 6:45,11/27/2017 6:55,31119,14th & Belmont St NW,31275,New Hampshire Ave & 24th St NW,W20529,Member
11/27/2017 9:39,11/27/2017 9:47,31275,New Hampshire Ave & 24th St NW,31259,20th St & Virginia Ave NW,W20529,Member
11/27/2017 11:09,11/27/2017 11:20,31259,20th St & Virginia Ave NW,31229,New Hampshire Ave & T St NW,W20529,Member
11/27/2017 11:31,11/27/2017 11:35,31229,New Hampshire Ave & T St NW,31234,20th & O St NW / Dupont South,W20529,Member
11/27/2017 12:07,11/27/2017 12:12,31234,20th & O St NW / Dupont South,31229,New Hampshire Ave & T St NW,W20529,Member
11/27/2017 12:21,11/27/2017 12:26,31229,New Hampshire Ave & T St NW,31212,21st & M St NW,W20529,Member
11/27/2017 17:26,11/27/2017 17:36,31212,21st & M St NW,31263,10th & K St NW,W20529,Member
11/27/2017 18:11,11/27/2017 18:29,31263,10th & K St NW,31615,6th & H St NE,W20529,Member
11/27/2017 19:36,11/27/2017 19:47,31615,6th & H St NE,31522,2nd St & Seaton Pl NE,W20529,Member
11/27/2017 20:12,11/27/2017 20:17,31522,2nd St & Seaton Pl NE,31627,3rd & M St NE,W20529,Member
11/28/2017 8:18,11/28/2017 8:41,31627,3rd & M St NE,31205,21st & I St NW,W20529,Member
11/28/2017 19:17,11/28/2017 19:34,31205,21st & I St NW,31295,Potomac & M St NW,W20529,Member
11/28/2017 19:34,11/28/2017 19:46,31295,Potomac & M St NW,31050,Barton St & 10th St N,W20529,Member
11/28/2017 21:27,11/28/2017 21:39,31050,Barton St & 10th St N,31035,N Quincy St & Glebe Rd,W20529,Member
11/29/2017 7:47,11/29/2017 7:51,31035,N Quincy St & Glebe Rd,31024,Virginia Square Metro / N Monroe St & 9th St N,W20529,Member
11/29/2017 9:50,11/29/2017 9:53,31024,Virginia Square Metro / N Monroe St & 9th St N,31037,Ballston Metro / N Stuart & 9th St N,W20529,Member
11/29/2017 17:03,11/29/2017 17:16,31037,Ballston Metro / N Stuart & 9th St N,31022,Clarendon Metro / Wilson Blvd & N Highland St,W20529,Member
11/29/2017 18:19,11/29/2017 18:23,31022,Clarendon Metro / Wilson Blvd & N Highland St,31040,Fairfax Dr & Kenmore St,W20529,Member
12/1/2017 17:03,12/1/2017 17:10,31040,Fairfax Dr & Kenmore St,31079,Lee Hwy & N Cleveland St,W20529,Member
12/2/2017 7:55,12/2/2017 8:01,31079,Lee Hwy & N Cleveland St,31017,Wilson Blvd & N Uhle St,W20529,Member
12/2/2017 9:16,12/2/2017 9:21,31017,Wilson Blvd & N Uhle St,31079,Lee Hwy & N Cleveland St,W20529,Member
12/2/2017 19:48,12/2/2017 19:53,31079,Lee Hwy & N Cleveland St,31021,Clarendon Blvd & N Fillmore St,W20529,Member
12/3/2017 14:36,12/3/2017 15:20,31021,Clarendon Blvd & N Fillmore St,31646,Maine Ave & 9th St SW,W20529,Casual
12/3/2017 16:04,12/3/2017 16:25,31646,Maine Ave & 9th St SW,31264,6th St & Indiana Ave NW,W20529,Member
12/3/2017 16:40,12/3/2017 16:43,31264,6th St & Indiana Ave NW,31265,5th St & Massachusetts Ave NW,W20529,Member
